Index,Area,Bounding Box,Centroid
0,107.0,"(304, 714, 58, 6)","(333, 717)"
1,0.0,"(0, 712, 7, 2)","(3, 713)"
2,0.0,"(473, 705, 3, 15)","(474, 712)"
3,0.5,"(472, 705, 2, 2)","(473, 706)"
4,0.0,"(11, 704, 1, 1)","(11, 704)"
5,5.0,"(212, 703, 3, 4)","(213, 705)"
6,0.5,"(100, 703, 57, 4)","(128, 705)"
7,3.5,"(0, 703, 7, 6)","(3, 706)"
8,1.0,"(0, 695, 10, 3)","(5, 696)"
9,2.5,"(20, 688, 9, 9)","(24, 692)"
10,151.0,"(208, 683, 24, 32)","(220, 699)"
11,5.5,"(41, 683, 20, 9)","(51, 687)"
12,6.0,"(207, 680, 26, 33)","(220, 696)"
13,4.5,"(42, 680, 14, 10)","(49, 685)"
14,4.0,"(6, 674, 6, 9)","(9, 678)"
15,8.5,"(169, 658, 19, 38)","(178, 677)"
16,4.0,"(1122, 646, 15, 11)","(1129, 651)"
17,1.0,"(164, 646, 2, 2)","(165, 647)"
18,0.0,"(57, 646, 1, 2)","(57, 647)"
19,0.0,"(181, 645, 2, 1)","(182, 645)"
20,4.5,"(49, 645, 7, 7)","(52, 648)"
21,11.5,"(193, 641, 9, 28)","(197, 655)"
22,10.0,"(277, 640, 18, 47)","(286, 663)"
23,28.5,"(0, 639, 29, 24)","(14, 651)"
24,9.0,"(1105, 636, 27, 12)","(1118, 642)"
25,28.0,"(1079, 633, 72, 87)","(1115, 676)"
26,7.0,"(262, 632, 11, 13)","(267, 638)"
27,3.0,"(253, 632, 5, 5)","(255, 634)"
28,39.0,"(202, 632, 22, 33)","(213, 648)"
29,9.0,"(160, 620, 17, 11)","(168, 625)"
30,2.0,"(19, 620, 13, 3)","(25, 621)"
31,22.5,"(154, 616, 28, 30)","(168, 631)"
32,61.0,"(0, 612, 61, 51)","(30, 637)"
33,6.0,"(630, 602, 15, 8)","(637, 606)"
34,16.0,"(599, 601, 63, 21)","(630, 611)"
35,12.5,"(173, 596, 16, 32)","(181, 612)"
36,0.5,"(128, 596, 2, 2)","(129, 597)"
37,0.0,"(196, 595, 1, 1)","(196, 595)"
38,0.5,"(122, 595, 5, 4)","(124, 597)"
39,77.0,"(605, 593, 21, 18)","(615, 602)"
40,19.5,"(605, 590, 44, 16)","(627, 598)"
41,0.0,"(215, 590, 1, 1)","(215, 590)"
42,251.5,"(136, 589, 38, 41)","(155, 609)"
43,8.0,"(1207, 588, 19, 13)","(1216, 594)"
44,0.0,"(214, 588, 1, 1)","(214, 588)"
45,0.0,"(1205, 587, 1, 1)","(1205, 587)"
46,3.0,"(185, 587, 6, 6)","(188, 590)"
47,61.5,"(0, 587, 70, 111)","(35, 642)"
48,1.0,"(177, 585, 2, 3)","(178, 586)"
49,1.5,"(169, 583, 3, 5)","(170, 585)"
50,191.5,"(160, 580, 59, 70)","(189, 615)"
51,76.5,"(810, 571, 104, 66)","(862, 604)"
52,6.0,"(508, 571, 9, 9)","(512, 575)"
53,25.5,"(1095, 564, 52, 33)","(1121, 580)"
54,0.0,"(131, 564, 3, 2)","(132, 565)"
55,32.5,"(579, 561, 25, 71)","(591, 596)"
56,0.0,"(137, 558, 1, 2)","(137, 559)"
57,8.5,"(120, 556, 14, 12)","(127, 562)"
58,14.0,"(602, 554, 15, 24)","(609, 566)"
59,10.0,"(1026, 553, 17, 25)","(1034, 565)"
60,0.5,"(136, 553, 2, 2)","(137, 554)"
61,0.0,"(695, 552, 1, 3)","(695, 553)"
62,11.5,"(736, 551, 14, 16)","(743, 559)"
63,45.0,"(695, 551, 32, 45)","(711, 573)"
64,3.5,"(597, 550, 4, 11)","(599, 555)"
65,0.0,"(738, 549, 6, 2)","(741, 550)"
66,39.0,"(1032, 548, 44, 45)","(1054, 570)"
67,119.0,"(640, 547, 44, 50)","(662, 572)"
68,51.0,"(651, 546, 42, 60)","(672, 576)"
69,5.5,"(647, 546, 32, 11)","(663, 551)"
70,6.0,"(133, 543, 18, 11)","(142, 548)"
71,2.0,"(981, 539, 6, 9)","(984, 543)"
72,6.5,"(987, 525, 16, 12)","(995, 531)"
73,4.0,"(958, 517, 12, 12)","(964, 523)"
74,12.5,"(702, 516, 11, 6)","(707, 519)"
75,4.0,"(654, 515, 11, 7)","(659, 518)"
76,1.0,"(780, 512, 7, 29)","(783, 526)"
77,2.0,"(953, 509, 4, 10)","(955, 514)"
78,89.5,"(640, 509, 22, 44)","(651, 531)"
79,0.0,"(952, 507, 1, 1)","(952, 507)"
80,2.0,"(672, 507, 7, 10)","(675, 512)"
81,1.0,"(769, 501, 8, 7)","(773, 504)"
82,131.5,"(935, 499, 345, 163)","(1107, 580)"
83,5.0,"(687, 494, 5, 32)","(689, 510)"
84,10.0,"(928, 493, 18, 14)","(937, 500)"
85,31.5,"(613, 491, 69, 37)","(647, 509)"
86,9.0,"(658, 491, 14, 11)","(665, 496)"
87,9.0,"(608, 491, 18, 16)","(617, 499)"
88,0.0,"(944, 486, 1, 5)","(944, 488)"
89,6.0,"(680, 486, 8, 18)","(684, 495)"
90,2.5,"(710, 485, 4, 6)","(712, 488)"
91,0.0,"(768, 484, 1, 1)","(768, 484)"
92,6.0,"(672, 483, 10, 12)","(677, 489)"
93,0.5,"(648, 483, 2, 2)","(649, 484)"
94,15.0,"(566, 482, 11, 22)","(571, 493)"
95,2.5,"(0, 481, 3, 14)","(1, 488)"
96,1.5,"(930, 480, 4, 21)","(932, 490)"
97,16.0,"(625, 478, 17, 12)","(633, 484)"
98,1.0,"(755, 477, 4, 5)","(757, 479)"
99,3.0,"(708, 472, 5, 12)","(710, 478)"
100,0.5,"(708, 468, 4, 3)","(710, 469)"
101,97.5,"(672, 465, 108, 87)","(726, 508)"
102,3.0,"(641, 465, 11, 13)","(646, 471)"
103,0.0,"(729, 464, 1, 2)","(729, 465)"
104,1.0,"(737, 463, 4, 3)","(739, 464)"
105,0.0,"(733, 461, 2, 2)","(734, 462)"
106,178.5,"(730, 459, 41, 21)","(750, 469)"
107,0.0,"(730, 458, 1, 1)","(730, 458)"
108,4.5,"(708, 456, 9, 20)","(712, 466)"
109,2.0,"(732, 455, 6, 6)","(735, 458)"
110,130.5,"(613, 453, 65, 58)","(645, 482)"
111,8.5,"(605, 453, 29, 15)","(619, 460)"
112,1.0,"(725, 451, 3, 2)","(726, 452)"
113,0.0,"(946, 450, 1, 2)","(946, 451)"
